category,prompt_id,prompt_name,doc_path,match_reason,confidence
power-query-folding,execute-stored-procedure-in-dataflow-gen2-optimized,Execute Stored Procedure in Dataflow Gen2 (Optimized),powerquery_library_output.json,existing-link,1.0
power-query-folding,execute-stored-procedure-in-dataflow-gen2-optimized,Execute Stored Procedure in Dataflow Gen2 (Optimized),CheetSheet_MicrosoftFabricNotebooks_PowerQuery_vs_PythonPandas_Operations.md,existing-link,1.0
power-query-folding,generate-power-query-logic-for-combining-multiple-files,Generate Power Query Logic for Combining Multiple Files,guide_to_power_query_folding.md,existing-link,1.0
power-query-folding,generate-power-query-logic-for-combining-multiple-files,Generate Power Query Logic for Combining Multiple Files,powerquery_library_output.json,existing-link,1.0
power-query-folding,generate-power-query-logic-for-combining-multiple-files,Generate Power Query Logic for Combining Multiple Files,CheetSheet_MicrosoftFabricNotebooks_PowerQuery_vs_PythonPandas_Operations.md,existing-link,1.0
power-query-folding,parameterize-power-query-dynamic-filteringconnections,Parameterize Power Query (Dynamic Filtering/Connections),guide_to_power_query_folding.md,existing-link,1.0
power-query-folding,parameterize-power-query-dynamic-filteringconnections,Parameterize Power Query (Dynamic Filtering/Connections),powerquery_library_output.json,existing-link,1.0
power-query-folding,parameterize-power-query-dynamic-filteringconnections,Parameterize Power Query (Dynamic Filtering/Connections),CheetSheet_MicrosoftFabricNotebooks_PowerQuery_vs_PythonPandas_Operations.md,existing-link,1.0
power-query-folding,select-optimal-fabric-data-transformation-technology,Select Optimal Fabric Data Transformation Technology,guide_to_power_query_folding.md,existing-link,1.0
power-query-folding,select-optimal-fabric-data-transformation-technology,Select Optimal Fabric Data Transformation Technology,powerquery_library_output.json,existing-link,1.0
power-query-folding,select-optimal-fabric-data-transformation-technology,Select Optimal Fabric Data Transformation Technology,CheetSheet_MicrosoftFabricNotebooks_PowerQuery_vs_PythonPandas_Operations.md,existing-link,1.0
powerbi-visualization,design-interactive-button-slicer-panel,Design Interactive Button Slicer Panel,bestpractices_powerbithemes.md,existing-link,1.0
powerbi-visualization,design-interactive-button-slicer-panel,Design Interactive Button Slicer Panel,powerbi_report_design_best_practices.md,existing-link,1.0
powerbi-visualization,design-report-navigation-bookmarks-and-selection-pane,Design Report Navigation (Bookmarks and Selection Pane),bestpractices_powerbithemes.md,existing-link,1.0
powerbi-visualization,design-report-navigation-bookmarks-and-selection-pane,Design Report Navigation (Bookmarks and Selection Pane),powerbi_report_design_best_practices.md,existing-link,1.0
powerbi-visualization,determine-optimal-relationship-cardinality-and-direction,Determine Optimal Relationship Cardinality and Direction,bestpractices_powerbithemes.md,existing-link,1.0
powerbi-visualization,determine-optimal-relationship-cardinality-and-direction,Determine Optimal Relationship Cardinality and Direction,powerbi_report_design_best_practices.md,existing-link,1.0
powerbi-visualization,generate-power-bi-theme-json,Generate Power BI Theme JSON,bestpractices_powerbithemes.md,existing-link,1.0
powerbi-visualization,generate-power-bi-theme-json,Generate Power BI Theme JSON,powerbi_report_design_best_practices.md,existing-link,1.0
powerbi-visualization,optimize-new-card-visual-for-kpis,Optimize New Card Visual for KPIs,bestpractices_powerbithemes.md,existing-link,1.0
powerbi-visualization,optimize-new-card-visual-for-kpis,Optimize New Card Visual for KPIs,powerbi_report_design_best_practices.md,existing-link,1.0
